11|AGRICULTURA, GANADERÍA, APROVECHAMIENTO FORESTAL, PESCA Y CAZA
21|MINERÍA
22|ELECTRICIDAD, AGUA Y SUMINISTRO DE GAS POR DUCTOS AL CONSUMIDOR FINAL
23|CONSTRUCCIÓN
31|INDUSTRIAS MANUFACTURERAS
43|COMERCIO AL POR MAYOR
46|COMERCIO AL POR MENOR
48|TRANSPORTES, CORREOS Y ALMACENAMIENTO
51|INFORMACIÓN EN MEDIOS MASIVOS
52|SERVICIOS FINANCIEROS Y DE SEGUROS
53|SERVICIOS INMOBILIARIOS Y DE ALQUILER DE BIENES MUEBLES E INTANGIBLES
54|SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS
55|DIRECCIÓN DE CORPORATIVOS Y EMPRESAS
56|SERVICIOS DE APOYO A LOS NEGOCIOS Y MANEJO DE DESECHOS Y SERVICIOS DE REMEDIACIÓN
61|SERVICIOS EDUCATIVOS
62|SERVICIOS DE SALUD Y DE ASISTENCIA SOCIAL
71|SERVICIOS DE ESPARCIMIENTO CULTURALES Y DEPORTIVOS, Y OTROS SERVICIOS RECREATIVOS
72|SERVICIOS DE ALOJAMIENTO TEMPORAL Y DE PREPARACIÓN DE ALIMENTOS Y BEBIDAS
81|OTROS SERVICIOS EXCEPTO ACTIVIDADES DEL GOBIERNO
93|ACTIVIDADES DEL GOBIERNO Y DE ORGANISMOS INTERNACIONALES Y EXTRATERRITORIALES
111|AGRICULTURA
112|GANADERÍA
113|APROVECHAMIENTO FORESTAL
114|PESCA, CAZA Y CAPTURA
115|SERVICIOS RELACIONADOS CON LAS ACTIVIDADES AGROPECUARIAS Y FORESTALES
211|EXTRACCIÓN DE PETRÓLEO Y GAS
212|MINERÍA DE MINERALES METÁLICOS Y NO METÁLICOS, EXCEPTO PETRÓLEO Y GAS
213|SERVICIOS RELACIONADOS CON LA MINERÍA
221|GENERACIÓN, TRANSMISIÓN Y SUMINISTRO DE ENERGÍA ELÉCTRICA.
222|AGUA Y SUMINISTRO DE GAS POR DUCTOS AL CONSUMIDOR FINAL.
236|EDIFICACIÓN
237|CONSTRUCCIÓN DE OBRAS DE INGENIERÍA CIVIL U OBRA PESADA
238|TRABAJOS ESPECIALIZADOS PARA LA CONSTRUCCIÓN
311|INDUSTRIA ALIMENTARIA
312|INDUSTRIA DE LAS BEBIDAS Y DEL TABACO
313|FABRICACIÓN DE INSUMOS TEXTILES
314|CONFECCIÓN DE PRODUCTOS TEXTILES, EXCEPTO PRENDAS DE VESTIR
315|FABRICACIÓN DE PRENDAS DE VESTIR
316|FABRICACIÓN DE PRODUCTOS DE CUERO, PIEL Y MATERIALES SUCEDÁNEOS, EXCEPTO PRENDAS DE VESTIR
321|INDUSTRIA DE LA MADERA
322|INDUSTRIA DEL PAPEL
323|IMPRESIÓN E INDUSTRIAS CONEXAS
324|FABRICACIÓN DE PRODUCTOS DERIVADOS DEL PETRÓLEO Y DEL CARBÓN
325|INDUSTRIA QUÍMICA
326|INDUSTRIA DEL PLÁSTICO Y DEL HULE
327|FABRICACIÓN DE PRODUCTOS A BASE DE MINERALES NO METÁLICOS
331|INDUSTRIAS METÁLICAS BÁSICAS
332|FABRICACIÓN DE PRODUCTOS METÁLICOS
333|FABRICACIÓN DE MAQUINARIA Y EQUIPO
334|FABRICACIÓN DE EQUIPO DE COMPUTACIÓN, COMUNICACIÓN, MEDICIÓN Y DE OTROS EQUIPOS, COMPONENTES Y ACCESORIOS ELECTRÓNICOS
335|FABRICACIÓN DE EQUIPO DE GENERACIÓN ELÉCTRICA Y APARATOS Y ACCESORIOS ELÉCTRICOS
336|FABRICACIÓN DE EQUIPO DE TRANSPORTE
337|FABRICACIÓN DE MUEBLES Y PRODUCTOS RELACIONADOS
339|OTRAS INDUSTRIAS MANUFACTURERAS
431|COMERCIO AL POR MAYOR DE ALIMENTOS, BEBIDAS Y TABACO.
432|COMERCIO AL POR MAYOR DE PRODUCTOS TEXTILES Y CALZADO.
433|COMERCIO AL POR MAYOR DE PRODUCTOS FARMACÉUTICOS, DE PERFUMERÍA, ACCESORIOS DE VESTIR, ARTÍCULOS PARA EL ESPARCIMIENTO Y ELECTRODOMÉSTICOS.
434|COMERCIO AL POR MAYOR DE MATERIAS PRIMAS AGROPECUARIAS, PARA LA INDUSTRIA Y MATERIALES DE DESECHO.
435|COMERCIO AL POR MAYOR DE MAQUINARIA, MOBILIARIO Y EQUIPO PARA ACTIVIDADES AGROPECUARIAS, INDUSTRIALES Y DE SERVICIOS.
436|COMERCIO AL POR MAYOR DE CAMIONES.
437|INTERMEDIACIÓN Y COMERCIO AL POR MAYOR POR MEDIOS MASIVOS DE COMUNICACIÓN Y OTROS MEDIOS.
461|COMERCIO AL POR MENOR DE ALIMENTOS, BEBIDAS Y TABACO.
462|COMERCIO AL POR MENOR EN TIENDAS DE AUTOSERVICIO Y DEPARTAMENTALES.
463|COMERCIO AL POR MENOR DE PRODUCTOS TEXTILES, ACCESORIOS DE VESTIR Y CALZADO.
464|COMERCIO AL POR MENOR DE ARTÍCULOS PARA EL CUIDADO DE LA SALUD.
465|COMERCIO AL POR MENOR DE ARTÍCULOS DE PAPELERÍA, PARA EL ESPARCIMIENTO Y OTROS ARTÍCULOS DE USO PERSONAL
466|COMERCIO AL POR MENOR DE ENSERES DOMÉSTICOS, COMPUTADORAS Y ARTÍCULOS PARA LA DECORACIÓN DE INTERIORES.
467|COMERCIO AL POR MENOR DE ARTÍCULOS DE FERRETERÍA, TLAPALERÍA Y VIDRIOS.
468|COMERCIO AL POR MENOR DE VEHÍCULOS DE MOTOR, REFACCIONES, COMBUSTIBLES Y LUBRICANTES.
469|INTERMEDIACIÓN Y COMERCIO AL POR MENOR POR MEDIOS MASIVOS DE COMUNICACIÓN Y OTROS MEDIOS.
481|TRANSPORTE AÉREO
482|TRANSPORTE POR FERROCARRIL
483|TRANSPORTE POR AGUA
484|AUTOTRANSPORTE DE CARGA
485|TRANSPORTE TERRESTRE DE PASAJEROS, EXCEPTO POR FERROCARRIL
486|TRANSPORTE POR DUCTOS
487|TRANSPORTE TURÍSTICO
488|SERVICIOS RELACIONADOS CON EL TRANSPORTE
491|SERVICIOS POSTALES
492|SERVICIOS DE MENSAJERÍA Y PAQUETERÍA
493|SERVICIOS DE ALMACENAMIENTO
511|EDICIÓN DE PUBLICACIONES Y DE SOFTWARE, EXCEPTO A TRAVÉS DE INTERNET
512|INDUSTRIA FÍLMICA Y DEL VIDEO, E INDUSTRIA DEL SONIDO
515|RADIO Y TELEVISIÓN, EXCEPTO A TRAVÉS DE INTERNET
516|CREACIÓN Y DIFUSIÓN DE CONTENIDO EXCLUSIVAMENTE A TRAVÉS DE INTERNET
517|OTRAS TELECOMUNICACIONES
518|PROVEEDORES DE ACCESO A INTERNET, SERVICIOS DE BÚSQUEDA EN LA RED Y SERVICIOS DE PROCESAMIENTO DE INFORMACIÓN
519|OTROS SERVICIOS DE INFORMACIÓN
521|BANCA CENTRAL
522|INSTITUCIONES DE INTERMEDIACIÓN CREDITICIA Y FINANCIERA NO BURSÁTIL
523|ACTIVIDADES BURSÁTILES CAMBIARIAS Y DE INVERSIÓN FINANCIERA
524|COMPAÑÍAS DE FIANZAS, SEGUROS Y PENSIONES
531|SERVICIOS INMOBILIARIOS
532|SERVICIOS DE ALQUILER DE BIENES MUEBLES
533|SERVICIOS DE ALQUILER DE MARCAS REGISTRADAS, PATENTES Y FRANQUICIAS
541|SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS
551|DIRECCIÓN DE CORPORATIVOS Y EMPRESAS
561|SERVICIOS DE APOYO A LOS NEGOCIOS
562|MANEJO DE DESECHOS Y SERVICIOS DE REMEDIACIÓN
611|SERVICIOS EDUCATIVOS
621|SERVICIOS MÉDICOS DE CONSULTA EXTERNA Y SERVICIOS RELACIONADOS
622|HOSPITALES
623|RESIDENCIAS DE ASISTENCIA SOCIAL Y PARA EL CUIDADO DE LA SALUD
624|OTROS SERVICIOS DE ASISTENCIA SOCIAL
711|SERVICIOS ARTÍSTICOS Y DEPORTIVOS Y OTROS SERVICIOS RELACIONADOS
712|MUSEOS, SITIOS HISTÓRICOS, JARDINES BOTÁNICOS Y SIMILARES
713|SERVICIOS DE ENTRETENIMIENTO EN INSTALACIONES RECREATIVAS Y OTROS SERVICIOS RECREATIVOS
721|SERVICIOS DE ALOJAMIENTO TEMPORAL
722|SERVICIOS DE PREPARACIÓN DE ALIMENTOS Y BEBIDAS
811|SERVICIOS DE REPARACIÓN Y MANTENIMIENTO
812|SERVICIOS PERSONALES
813|ASOCIACIONES Y ORGANIZACIONES
814|HOGARES CON EMPLEADOS DOMÉSTICOS
931|ACTIVIDADES DEL GOBIERNO.
932|ORGANISMOS INTERNACIONALES Y EXTRATERRITORIALES.
1111|CULTIVO DE GRANOS Y SEMILLAS OLEAGINOSAS
1112|CULTIVO DE HORTALIZAS
1113|CULTIVO DE FRUTALES Y NUECES
1114|CULTIVO EN INVERNADEROS Y VIVEROS, Y FLORICULTURA
1119|OTROS CULTIVOS
1121|EXPLOTACIÓN DE BOVINOS
1122|EXPLOTACIÓN DE PORCINOS
1123|EXPLOTACIÓN AVÍCOLA
1124|EXPLOTACIÓN DE OVINOS Y CAPRINOS
1125|ACUICULTURA ANIMAL
1129|EXPLOTACIÓN DE OTROS ANIMALES
1131|SILVICULTURA
1132|VIVEROS FORESTALES Y RECOLECCIÓN DE PRODUCTOS FORESTALES
1133|TALA DE ÁRBOLES
1141|PESCA
1142|CAZA Y CAPTURA
1151|SERVICIOS RELACIONADOS CON LA AGRICULTURA
1152|SERVICIOS RELACIONADOS CON LA GANADERÍA
1153|SERVICIOS RELACIONADOS CON EL APROVECHAMIENTO FORESTAL
2111|EXTRACCIÓN DE PETRÓLEO Y GAS
2121|MINERÍA DE CARBÓN MINERAL
2122|MINERÍA DE MINERALES METÁLICOS
2123|MINERÍA DE MINERALES NO METÁLICOS
2131|SERVICIOS RELACIONADOS CON LA MINERÍA
2211|GENERACIÓN, TRANSMISIÓN Y SUMINISTRO DE ENERGÍA ELÉCTRICA.
2221|CAPTACIÓN, TRATAMIENTO Y SUMINISTRO DE AGUA.
2222|SUMINISTRO DE GAS POR DUCTOS AL CONSUMIDOR FINAL.
2361|EDIFICACIÓN RESIDENCIAL
2362|EDIFICACIÓN NO RESIDENCIAL
2371|CONSTRUCCIÓN DE OBRAS PARA EL ABASTECIMIENTO DE AGUA, PETRÓLEO, GAS, ELECTRICIDAD Y TELECOMUNICACIONES
2372|DIVISIÓN DE TERRENOS Y CONSTRUCCIÓN DE OBRAS DE URBANIZACIÓN
2373|CONSTRUCCIÓN DE VÍAS DE COMUNICACIÓN
2379|OTRAS CONSTRUCCIONES DE INGENIERÍA CIVIL U OBRA PESADA
2381|CIMENTACIONES, MONTAJE DE ESTRUCTURAS PREFABRICADAS Y TRABAJOS EN EXTERIORES
2382|INSTALACIONES Y EQUIPAMIENTO EN CONSTRUCCIONES
2383|TRABAJOS DE ACABADOS EN EDIFICACIONES
2389|OTROS TRABAJOS ESPECIALIZADOS PARA LA CONSTRUCCIÓN
3111|ELABORACIÓN DE ALIMENTOS PARA ANIMALES
3112|MOLIENDA DE GRANOS Y DE SEMILLAS OLEAGINOSAS
3113|ELABORACIÓN DE AZÚCAR, CHOCOLATES, DULCES Y SIMILARES
3114|CONSERVACIÓN DE FRUTAS, VERDURAS Y GUISOS
3115|ELABORACIÓN DE PRODUCTOS LÁCTEOS
3116|MATANZA, EMPACADO Y PROCESAMIENTO DE CARNE DE GANADO Y AVES
3117|PREPARACIÓN Y ENVASADO DE PESCADOS Y MARISCOS
3118|ELABORACIÓN DE PRODUCTOS DE PANADERÍA Y TORTILLAS
3119|OTRAS INDUSTRIAS ALIMENTARIAS
3121|INDUSTRIA DE LAS BEBIDAS
3122|INDUSTRIA DEL TABACO
3131|PREPARACIÓN E HILADO DE FIBRAS TEXTILES Y FABRICACIÓN DE HILOS
3132|FABRICACIÓN DE TELAS
3133|ACABADO Y RECUBRIMIENTO DE TEXTILES
3141|CONFECCIÓN DE ALFOMBRAS, BLANCOS Y SIMILARES
3149|CONFECCIÓN DE OTROS PRODUCTOS TEXTILES, EXCEPTO PRENDAS DE VESTIR
3151|TEJIDO DE PRENDAS DE VESTIR DE PUNTO
3152|CONFECCIÓN DE PRENDAS DE VESTIR
3159|CONFECCIÓN DE ACCESORIOS DE VESTIR
3161|CURTIDO Y ACABADO DE CUERO Y PIEL
3162|FABRICACIÓN DE CALZADO
3169|FABRICACIÓN DE OTROS PRODUCTOS DE CUERO, PIEL Y MATERIALES SUCEDÁNEOS
3211|ASERRADO Y CONSERVACIÓN DE LA MADERA
3212|FABRICACIÓN DE LAMINADOS Y AGLUTINADOS DE MADERA
3219|FABRICACIÓN DE OTROS PRODUCTOS DE MADERA
3221|FABRICACIÓN DE CELULOSA, PAPEL Y CARTÓN
3222|FABRICACIÓN DE PRODUCTOS DE PAPEL Y CARTÓN
3231|IMPRESIÓN E INDUSTRIAS CONEXAS
3241|FABRICACIÓN DE PRODUCTOS DERIVADOS DEL PETRÓLEO Y DEL CARBÓN
3251|FABRICACIÓN DE PRODUCTOS QUÍMICOS BÁSICOS
3252|FABRICACIÓN DE HULES, RESINAS Y FIBRAS QUÍMICAS
3253|FABRICACIÓN DE FERTILIZANTES, PESTICIDAS Y OTROS AGROQUÍMICOS
3254|FABRICACIÓN DE PRODUCTOS FARMACÉUTICOS
3255|FABRICACIÓN DE PINTURAS, RECUBRIMIENTOS, ADHESIVOS Y SELLADORES
3256|FABRICACIÓN DE JABONES, LIMPIADORES Y PREPARACIONES DE TOCADOR
3259|FABRICACIÓN DE OTROS PRODUCTOS QUÍMICOS
3261|FABRICACIÓN DE PRODUCTOS DE PLÁSTICO
3262|FABRICACIÓN DE PRODUCTOS DE HULE
3271|FABRICACIÓN DE PRODUCTOS A BASE DE ARCILLAS Y MINERALES REFRACTARIOS
3272|FABRICACIÓN DE VIDRIO Y PRODUCTOS DE VIDRIO
3273|FABRICACIÓN DE CEMENTO Y PRODUCTOS DE CONCRETO
3274|FABRICACIÓN DE CAL, YESO Y PRODUCTOS DE YESO
3279|FABRICACIÓN DE OTROS PRODUCTOS A BASE DE MINERALES NO METÁLICOS
3311|INDUSTRIA BÁSICA DEL HIERRO Y DEL ACERO
3312|FABRICACIÓN DE PRODUCTOS DE HIERRO Y ACERO DE MATERIAL COMPRADO
3313|INDUSTRIA DEL ALUMINIO
3314|INDUSTRIAS DE METALES NO FERROSOS, EXCEPTO ALUMINIO
3315|MOLDEO POR FUNDICIÓN DE PIEZAS METÁLICAS
3321|FABRICACIÓN DE PRODUCTOS METÁLICOS FORJADOS Y TROQUELADOS
3322|FABRICACIÓN DE HERRAMIENTAS DE MANO SIN MOTOR Y UTENSILIOS DE COCINA METÁLICOS
3323|FABRICACIÓN DE ESTRUCTURAS METÁLICAS Y PRODUCTOS DE HERRERÍA
3324|FABRICACIÓN DE CALDERAS, TANQUES Y ENVASES METÁLICOS
3325|FABRICACIÓN DE HERRAJES Y CERRADURAS
3326|FABRICACIÓN DE ALAMBRE, PRODUCTOS DE ALAMBRE Y RESORTES
3327|MAQUINADO DE PIEZAS METÁLICAS Y FABRICACIÓN DE TORNILLOS
3328|RECUBRIMIENTOS Y TERMINADOS METÁLICOS
3329|FABRICACIÓN DE OTROS PRODUCTOS METÁLICOS
3331|FABRICACIÓN DE MAQUINARIA Y EQUIPO PARA LAS ACTIVIDADES AGROPECUARIAS, PARA LA CONSTRUCCIÓN Y PARA LA INDUSTRIA EXTRACTIVA
3332|FABRICACIÓN DE MAQUINARIA Y EQUIPO PARA LAS INDUSTRIAS MANUFACTURERAS, EXCEPTO LA METALMECÁNICA
3333|FABRICACIÓN DE MAQUINARIA Y EQUIPO PARA EL COMERCIO Y LOS SERVICIOS
3334|FABRICACIÓN DE SISTEMAS DE AIRE ACONDICIONADO, CALEFACCIÓN Y DE REFRIGERACIÓN INDUSTRIAL Y COMERCIAL
3335|FABRICACIÓN DE MAQUINARIA Y EQUIPO PARA LA INDUSTRIA METALMECÁNICA
3336|FABRICACIÓN DE MOTORES DE COMBUSTIÓN INTERNA, TURBINAS Y TRANSMISIONES
3339|FABRICACIÓN DE OTRA MAQUINARIA Y EQUIPO PARA LA INDUSTRIA EN GENERAL
3341|FABRICACIÓN DE COMPUTADORAS Y EQUIPO PERIFÉRICO
3342|FABRICACIÓN DE EQUIPO DE COMUNICACIÓN
3343|FABRICACIÓN DE EQUIPO DE AUDIO Y DE VIDEO
3344|FABRICACIÓN DE COMPONENTES ELECTRÓNICOS
3345|FABRICACIÓN DE INSTRUMENTOS DE NAVEGACIÓN, MEDICIÓN, MÉDICOS Y DE CONTROL
3346|FABRICACIÓN Y REPRODUCCIÓN DE MEDIOS MAGNÉTICOS Y ÓPTICOS
3351|FABRICACIÓN DE ACCESORIOS DE ILUMINACIÓN
3352|FABRICACIÓN DE APARATOS ELÉCTRICOS DE USO DOMÉSTICO
3353|FABRICACIÓN DE EQUIPO DE GENERACIÓN Y DISTRIBUCIÓN DE ENERGÍA ELÉCTRICA
3359|FABRICACIÓN DE OTROS EQUIPOS Y ACCESORIOS ELÉCTRICOS
3361|FABRICACIÓN DE AUTOMÓVILES Y CAMIONES
3362|FABRICACIÓN DE CARROCERÍAS Y REMOLQUES
3363|FABRICACIÓN DE PARTES PARA VEHÍCULOS AUTOMOTORES
3364|FABRICACIÓN DE EQUIPO AEROESPACIAL
3365|FABRICACIÓN DE EQUIPO FERROVIARIO
3366|FABRICACIÓN DE EMBARCACIONES
3369|FABRICACIÓN DE OTRO EQUIPO DE TRANSPORTE
3371|FABRICACIÓN DE MUEBLES, EXCEPTO DE OFICINA Y ESTANTERÍA
3372|FABRICACIÓN DE MUEBLES DE OFICINA Y ESTANTERÍA
3379|FABRICACIÓN DE PRODUCTOS RELACIONADOS CON LOS MUEBLES
3391|FABRICACIÓN DE EQUIPO Y MATERIAL PARA USO MÉDICO, DENTAL Y PARA LABORATORIO
3399|OTRAS INDUSTRIAS MANUFACTURERAS
4311|COMERCIO AL POR MAYOR DE ALIMENTOS Y ABARROTES.
4312|COMERCIO AL POR MAYOR DE BEBIDAS Y TABACO.
4321|COMERCIO AL POR MAYOR DE PRODUCTOS TEXTILES Y CALZADO.
